wattHours,predictedWattHours,created
287.0,242.0,2017-06-30T01:30:00.000Z
333.0,244.4,2017-06-30T02:00:00.000Z
254.0,225.252,2017-06-30T02:30:00.000Z
141.0,182.618,2017-06-30T03:00:00.000Z
176.0,139.604,2017-06-30T03:30:00.000Z
102.0,79.6751,2017-06-30T04:00:00.000Z
89.0,55.9153,2017-06-30T04:30:00.000Z
60.0,20.3831,2017-06-30T05:00:00.000Z
31.0,10.9238,2017-06-30T05:30:00.000Z
-1.0,-1.09574,2017-06-30T06:00:00.000Z
1.7763568394e-14,-1.15634,2017-06-30T06:30:00.000Z
1.7763568394e-14,-1.31043,2017-06-30T07:00:00.000Z
1.7763568394e-14,-1.21094,2017-06-30T07:30:00.000Z
1.7763568394e-14,-1.0289,2017-06-30T08:00:00.000Z
1.7763568394e-14,-1.4521,2017-06-30T08:30:00.000Z
1.7763568394e-14,-0.970097,2017-06-30T09:00:00.000Z
1.7763568394e-14,-1.37375,2017-06-30T09:30:00.000Z
1.7763568394e-14,-0.871947,2017-06-30T10:00:00.000Z
1.7763568394e-14,-1.33759,2017-06-30T10:30:00.000Z
1.7763568394e-14,-1.30432,2017-06-30T11:00:00.000Z
1.7763568394e-14,-0.845324,2017-06-30T11:30:00.000Z
1.7763568394e-14,-1.24313,2017-06-30T12:30:00.000Z
1.7763568394e-14,-1.43455,2017-06-30T13:00:00.000Z
1.7763568394e-14,-1.37675,2017-06-30T13:30:00.000Z
1.7763568394e-14,-1.43463,2017-06-30T14:00:00.000Z
1.7763568394e-14,-1.52474,2017-06-30T14:30:00.000Z
1.7763568394e-14,-1.47917,2017-06-30T15:00:00.000Z
1.7763568394e-14,-1.29823,2017-06-30T15:30:00.000Z
1.7763568394e-14,-0.902876,2017-06-30T16:00:00.000Z
1.7763568394e-14,-0.589607,2017-06-30T16:30:00.000Z
1.7763568394e-14,0.0959251,2017-06-30T17:00:00.000Z
12.0,-0.254347,2017-06-30T17:30:00.000Z
81.0,39.7712,2017-06-30T18:00:00.000Z
321.0,196.668,2017-06-30T18:30:00.000Z
399.0,221.215,2017-06-30T19:00:00.000Z
410.0,236.152,2017-06-30T19:30:00.000Z
409.0,226.534,2017-06-30T20:00:00.000Z
339.0,249.733,2017-06-30T20:30:00.000Z
516.0,311.141,2017-06-30T21:00:00.000Z
593.0,315.857,2017-06-30T21:30:00.000Z
614.0,321.415,2017-06-30T22:00:00.000Z
593.0,332.103,2017-06-30T22:30:00.000Z
596.0,322.588,2017-06-30T23:00:00.000Z
552.0,327.454,2017-06-30T23:30:00.000Z
540.0,365.387,2017-07-01T00:00:00.000Z
524.0,347.558,2017-07-01T00:30:00.000Z
428.0,363.693,2017-07-01T01:00:00.000Z
344.0,347.372,2017-07-01T01:30:00.000Z
285.0,264.119,2017-07-01T02:00:00.000Z
229.0,215.912,2017-07-01T02:30:00.000Z
198.0,142.049,2017-07-01T03:00:00.000Z
168.0,129.197,2017-07-01T03:30:00.000Z
108.0,88.6083,2017-07-01T04:00:00.000Z
88.0,65.4907,2017-07-01T04:30:00.000Z
74.0,35.8254,2017-07-01T05:00:00.000Z
32.0,32.1759,2017-07-01T05:30:00.000Z
-1.0,1.76338,2017-07-01T06:00:00.000Z
1.7763568394e-14,0.847486,2017-07-01T06:30:00.000Z
1.7763568394e-14,0.740455,2017-07-01T07:00:00.000Z
1.7763568394e-14,-0.103893,2017-07-01T07:30:00.000Z
1.7763568394e-14,0.311852,2017-07-01T08:00:00.000Z
1.7763568394e-14,-0.631589,2017-07-01T08:30:00.000Z
1.7763568394e-14,0.0388727,2017-07-01T09:00:00.000Z
1.7763568394e-14,-1.05823,2017-07-01T09:30:00.000Z
1.7763568394e-14,-0.0552983,2017-07-01T10:00:00.000Z
1.7763568394e-14,-1.31987,2017-07-01T10:30:00.000Z
1.7763568394e-14,-0.91168,2017-07-01T11:00:00.000Z
1.7763568394e-14,-0.0564325,2017-07-01T11:30:00.000Z
1.7763568394e-14,-0.868583,2017-07-01T12:30:00.000Z
1.7763568394e-14,0.107285,2017-07-01T13:00:00.000Z
1.7763568394e-14,-1.35528,2017-07-01T13:30:00.000Z
1.7763568394e-14,0.304239,2017-07-01T14:00:00.000Z
1.7763568394e-14,-0.750595,2017-07-01T14:30:00.000Z
1.7763568394e-14,0.91563,2017-07-01T15:00:00.000Z
1.7763568394e-14,0.206704,2017-07-01T15:30:00.000Z
1.7763568394e-14,2.46773,2017-07-01T16:00:00.000Z
1.7763568394e-14,1.45486,2017-07-01T16:30:00.000Z
1.7763568394e-14,3.72054,2017-07-01T17:00:00.000Z
1.7763568394e-14,2.2441,2017-07-01T17:30:00.000Z
1.7763568394e-14,23.8233,2017-07-01T18:00:00.000Z
15.0,120.802,2017-07-01T18:30:00.000Z
13.0,120.748,2017-07-01T19:00:00.000Z
28.0,173.001,2017-07-01T19:30:00.000Z
55.0,223.417,2017-07-01T20:00:00.000Z
49.0,187.223,2017-07-01T20:30:00.000Z
200.0,163.064,2017-07-01T21:00:00.000Z
256.0,204.92,2017-07-01T21:30:00.000Z
231.0,255.77,2017-07-01T22:00:00.000Z
201.0,217.324,2017-07-01T22:30:00.000Z
188.0,265.924,2017-07-01T23:00:00.000Z
326.0,260.846,2017-07-01T23:30:00.000Z
408.0,264.988,2017-07-02T00:00:00.000Z
475.0,219.076,2017-07-02T00:30:00.000Z
410.0,216.734,2017-07-02T01:00:00.000Z
352.0,242.518,2017-07-02T01:30:00.000Z
380.0,244.749,2017-07-02T02:00:00.000Z
274.0,211.564,2017-07-02T02:30:00.000Z
165.0,181.185,2017-07-02T03:00:00.000Z
165.0,113.793,2017-07-02T03:30:00.000Z
104.0,94.3842,2017-07-02T04:00:00.000Z
87.0,80.6313,2017-07-02T04:30:00.000Z
78.0,53.9499,2017-07-02T05:00:00.000Z
50.0,16.074,2017-07-02T05:30:00.000Z
3.0,4.03742,2017-07-02T06:00:00.000Z
-1.0,3.40146,2017-07-02T06:30:00.000Z
1.7763568394e-14,3.76496,2017-07-02T07:00:00.000Z
1.7763568394e-14,3.76621,2017-07-02T07:30:00.000Z
1.7763568394e-14,3.47449,2017-07-02T08:00:00.000Z
1.7763568394e-14,3.34472,2017-07-02T08:30:00.000Z
1.7763568394e-14,3.21439,2017-07-02T09:00:00.000Z
1.7763568394e-14,2.79949,2017-07-02T09:30:00.000Z
1.7763568394e-14,3.32119,2017-07-02T10:00:00.000Z
1.7763568394e-14,2.45975,2017-07-02T10:30:00.000Z
1.7763568394e-14,2.73325,2017-07-02T11:00:00.000Z
1.7763568394e-14,3.28513,2017-07-02T11:30:00.000Z
1.7763568394e-14,3.18886,2017-07-02T12:30:00.000Z
1.7763568394e-14,3.17056,2017-07-02T13:00:00.000Z
1.7763568394e-14,3.61034,2017-07-02T13:30:00.000Z
1.7763568394e-14,3.59703,2017-07-02T14:00:00.000Z
1.7763568394e-14,4.17202,2017-07-02T14:30:00.000Z
1.7763568394e-14,4.01582,2017-07-02T15:00:00.000Z
1.7763568394e-14,4.78312,2017-07-02T15:30:00.000Z
1.7763568394e-14,4.52721,2017-07-02T16:00:00.000Z
1.7763568394e-14,5.55137,2017-07-02T16:30:00.000Z
-1.0,5.1391,2017-07-02T17:00:00.000Z
3.0,5.64319,2017-07-02T17:30:00.000Z
27.0,11.0814,2017-07-02T18:00:00.000Z
77.0,42.107,2017-07-02T18:30:00.000Z
73.0,108.075,2017-07-02T19:00:00.000Z
171.0,99.1977,2017-07-02T19:30:00.000Z
86.0,183.147,2017-07-02T20:00:00.000Z
236.0,222.104,2017-07-02T20:30:00.000Z
330.0,324.248,2017-07-02T21:00:00.000Z
339.0,325.215,2017-07-02T21:30:00.000Z
357.0,282.718,2017-07-02T22:00:00.000Z
493.0,283.456,2017-07-02T22:30:00.000Z
530.0,291.874,2017-07-02T23:00:00.000Z
564.0,276.076,2017-07-02T23:30:00.000Z
507.0,346.693,2017-07-03T00:00:00.000Z
396.0,332.953,2017-07-03T00:30:00.000Z
357.0,337.429,2017-07-03T01:00:00.000Z
